category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Human Diseases,Immune disease,hsa05340,Primary immunodeficiency,4/40,25/3632,0.16,14.528,7.16152453100056,1.3512244136621617e-4,0.011755652398860807,0.011663200202136554,23495/930/973/115650,4
Organismal Systems,Immune system,hsa04672,Intestinal immune network for IgA production,4/40,38/3632,0.10526315789473684,9.557894736842105,5.595574190755519,7.110921121671049e-4,0.025129498236600618,0.024931867578962503,23495/115650/608/3112,4
Organismal Systems,Immune system,hsa04662,B cell receptor signaling pathway,4/40,40/3632,0.1,9.080000000000002,5.421858118177161,8.665344219517454e-4,0.025129498236600618,0.024931867578962503,930/973/974/640,4
